station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
BDL,12/1/2018 6:00,-72.6825,41.9381,,,,300,4,,30.17,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011100Z AUTO 30004KT 10SM CLR M03/M04 A3017 RMK T10301040 MADISHF
BDL,12/1/2018 6:05,-72.6825,41.9381,,,,300,4,,30.17,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011105Z AUTO 30004KT 10SM CLR M03/M04 A3017 RMK T10301040 MADISHF
BDL,12/1/2018 6:10,-72.6825,41.9381,,,,300,3,,30.17,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011110Z AUTO 30003KT 10SM CLR M03/M03 A3017 RMK T10301030 MADISHF
BDL,12/1/2018 6:15,-72.6825,41.9381,,,,310,4,,30.18,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011115Z AUTO 31004KT 10SM CLR M02/M03 A3018 RMK T10201030 MADISHF
BDL,12/1/2018 6:20,-72.6825,41.9381,,,,320,4,,30.17,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011120Z AUTO 32004KT 10SM CLR M02/M03 A3017 RMK T10201030 MADISHF
BDL,12/1/2018 6:25,-72.6825,41.9381,,,,320,3,,30.17,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011125Z AUTO 32003KT 10SM CLR M02/M03 A3017 RMK T10201030 MADISHF
BDL,12/1/2018 6:30,-72.6825,41.9381,,,,320,4,,30.17,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011130Z AUTO 32004KT 10SM CLR M03/M03 A3017 RMK T10301030 MADISHF
BDL,12/1/2018 6:35,-72.6825,41.9381,,,,10,4,,30.17,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011135Z AUTO 01004KT 10SM CLR M04/M04 A3017 RMK T10401040 MADISHF
BDL,12/1/2018 6:40,-72.6825,41.9381,,,,30,5,,30.17,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011140Z AUTO 03005KT 10SM CLR M05/M05 A3017 RMK T10501050 MADISHF
BDL,12/1/2018 6:45,-72.6825,41.9381,,,,60,5,,30.17,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011145Z AUTO 06005KT 10SM CLR M04/M05 A3017 RMK T10401050 MADISHF
BDL,12/1/2018 6:50,-72.6825,41.9381,,,,50,4,,30.17,,10,,,,,,,,,,,,,,,,,,KBDL 011150Z AUTO 05004KT 10SM M03/M04 A3017 RMK T10301040 MADISHF
BDL,12/1/2018 6:51,-72.6825,41.9381,26.1,25,95.53,50,4,0,30.17,1022,10,,FEW,,,,25000,,,,,0.0001,,0.01,,,,20.53,KBDL 011151Z 05004KT 10SM FEW250 M03/M04 A3017 RMK AO2 SLP220 I1000 I6001 T10331039 11017 21050 51018
BDL,12/1/2018 6:55,-72.6825,41.9381,,,,30,4,,30.17,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011155Z AUTO 03004KT 10SM CLR M04/M04 A3017 RMK T10401040 MADISHF
BDL,12/1/2018 7:00,-72.6825,41.9381,,,,30,4,,30.18,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011200Z AUTO 03004KT 10SM CLR M05/M05 A3018 RMK T10501050 MADISHF
BDL,12/1/2018 7:05,-72.6825,41.9381,,,,30,5,,30.18,,9,,CLR,,,,,,,,,,,,,,,,KBDL 011205Z AUTO 03005KT 9SM CLR M04/M04 A3018 RMK T10401040 MADISHF
BDL,12/1/2018 7:10,-72.6825,41.9381,,,,10,4,,30.18,,9,,CLR,,,,,,,,,,,,,,,,KBDL 011210Z AUTO 01004KT 9SM CLR M04/M05 A3018 RMK T10401050 MADISHF
BDL,12/1/2018 7:15,-72.6825,41.9381,,,,10,5,,30.18,,9,,CLR,,,,,,,,,,,,,,,,KBDL 011215Z AUTO 01005KT 9SM CLR M04/M04 A3018 RMK T10401040 MADISHF
BDL,12/1/2018 7:20,-72.6825,41.9381,,,,20,5,,30.18,,10,,CLR,,,,,,,,,,,,,,,,KBDL 011220Z AUTO 02005KT 10SM CLR M04/M04 A3018 RMK T10401040 MADISHF
BDL,12/1/2018 7:25,-72.6825,41.9381,,,,20,4,,30.18,,9,,CLR,,,,,,,,,,,,,,,,KBDL 011225Z AUTO 02004KT 9SM CLR M04/M04 A3018 RMK T10401040 MADISHF
BDL,12/1/2018 7:30,-72.6825,41.9381,,,,30,5,,30.18,,9,,CLR,,,,,,,,,,,,,,,,KBDL 011230Z AUTO 03005KT 9SM CLR M03/M04 A3018 RMK T10301040 MADISHF
BDL,12/1/2018 7:35,-72.6825,41.9381,,,,10,3,,30.19,,8,,CLR,,,,,,,,,,,,,,,,KBDL 011235Z AUTO 01003KT 8SM CLR M03/M03 A3019 RMK T10301030 MADISHF
BDL,12/1/2018 7:40,-72.6825,41.9381,,,,10,3,,30.19,,8,,CLR,,,,,,,,,,,,,,,,KBDL 011240Z AUTO 01003KT 8SM CLR M03/M03 A3019 RMK T10301030 MADISHF
BDL,12/1/2018 7:45,-72.6825,41.9381,,,,360,3,,30.19,,8,,,,,,,,,,,,,,,,,,KBDL 011245Z AUTO 36003KT 8SM M02/M03 A3019 RMK T10201030 MADISHF
BDL,12/1/2018 7:50,-72.6825,41.9381,,,,0,0,,30.19,,8,,,,,,,,,,,,,,,,,,KBDL 011250Z AUTO 00000KT 8SM M02/M03 A3019 RMK T10201030 MADISHF
BDL,12/1/2018 7:51,-72.6825,41.9381,28,27,95.97,0,0,0,30.19,1022.5,8,,FEW,,,,25000,,,,,,,,,,,28,KBDL 011251Z 00000KT 8SM FEW250 M02/M03 A3019 RMK AO2 SLP225 T10221028
BDL,12/1/2018 7:55,-72.6825,41.9381,,,,0,0,,30.19,,8,,CLR,,,,,,,,,,,,,,,,KBDL 011255Z AUTO 00000KT 8SM CLR M02/M03 A3019 RMK T10201030 MADISHF
BDL,12/1/2018 8:00,-72.6825,41.9381,,,,0,0,,30.19,,8,,CLR,,,,,,,,,,,,,,,,KBDL 011300Z AUTO 00000KT 8SM CLR M01/M02 A3019 RMK T10101020 MADISHF
BDL,12/1/2018 8:05,-72.6825,41.9381,,,,0,0,,30.2,,8,,CLR,,,,,,,,,,,,,,,,KBDL 011305Z AUTO 00000KT 8SM CLR M01/M02 A3020 RMK T10101020 MADISHF
